Name,Location,State,lat,long,command,host wing,primary missions and units
Tyndall Air Force Base,Panama City,Florida,30.443,-85.3435,Air Combat Command,325th Fighter Wing,"The 325th Fighter Wing and 44th Fighter Group operate the F-22A Raptor and T-38A/B/C Talon and the 82nd Aerial Targets Squadron a range of drone targets. Also home to the headquarters of the First Air Force and the 601st Air and Space Operations Center, providing Command and control for air defense, homeland security and civil support missions for North American Aerospace Defense Command (NORAD).[65]"
Grand Forks Air Force Base,Grand Forks,North Dakota,47.5740,-097.2404,Air Combat Command,319th Reconnaissance Wing,"The 319th Reconnaissance Wing operates the RQ-4B Global Hawk in the high-altitude intelligence, surveillance and reconnaissance role.[25]"
Little Rock Air Force Base,Jacksonville,Arkansas,34.5501,-092.0847,Air Mobility Command,19th Airlift Wing,"The 189th Airlift Wing and the Arkansas Air National Guard's 314th Airlift Wing deliver training to C-130 Hercules aircrews from across the US military and allied nations, whereas the 19th Airlift Wing and 913th Airlift Group fly the Hercules operationally.[36]"
Altus Air Force Base,Altus,Oklahoma,34.3959,-099.1605,Air Education and Training Command,97th Air Mobility Wing,"The 97th Air Mobility Wing trains crews to operate the C-17A Globemaster III, KC-135R Stratotanker and KC-46A Pegasus.[4]"
Fairchild Air Force Base,Spokane,Washington,47.3654,-117.3920,Air Mobility Command,92nd Air Refueling Wing,"The 92nd Air Refueling Wing and the 141st Air Refueling Wing of the Washington Air National Guard operate the KC-135R Stratotanker. Also hosts the USAF Survival, Evasion, Resistance and Escape (SERE) School, which is supported by UH-1N Iroquois operated by the 36th Rescue Squadron.[21]"
Sheppard Air Force Base,Wichita Falls,Texas,33.5920,-098.2931,Air Education and Training Command,82nd Training Wing,"The 82nd Training Wing provides ground technical training, whilst the 80th Flying Training Wing and 340th Flying Training Group provide flying training and operate the T-6A Texan II and T-38C Talon.[59]"
Keesler Air Force Base,Biloxi,Mississippi,30.2441,-088.5525,Air Education and Training Command,81st Training Wing,The 81st Training Wing provides a wide range of non-flying technical training. Also home to the 403rd Wing operating the WC-130J Super Hercules & C-130J Super Hercules and the Headquarters of the Second Air Force.[30]
Travis Air Force Base,Fairfield,California,38.1546,-121.5539,Air Mobility Command,60th Air Mobility Wing,"The 60th Air Mobility Wing and 349th Air Mobility Wing operate the C-5M Galaxy, C-17A Globemaster III and KC-10A Extender. Also home to the David Grant USAF Medical Center.[64]"
Luke Air Force Base,Glendale,Arizona,33.3206,-112.2259,Air Education and Training Command,56th Fighter Wing,The 56th Fighter Wing (the largest fighter wing in the USAF) and the 944th Fighter Wing train pilots to operate the F-16 Fighting Falcon and F-35A Lightning II.[37]
Offutt Air Force Base,Bellevue,Nebraska,41.0710,-095.5431,Air Combat Command,55th Wing,"The 55th Wing and Nebraska Air National Guard's 170th Group operate a range of OC-135, RC-135 and WC-135 aircraft in the intelligence gathering, reconnaissance and surveillance roles. Offut is also home to the 557th Weather Wing and 595th Command and Control Group operating the E-4B Advanced Airborne Command Post and the headquarters of US Strategic Command.[47]"
Holloman Air Force Base,Alamogordo,New Mexico,32.5109,-106.0623,Air Combat Command,49th Wing,"The 49th Wing trains crews to operate the MQ-9A Reaper and F-16C/D Fighting Falcon. Also home to the 704th Test Group which performs high speed sled track testing, navigation and guidance system testing, radar signature measurements and weapon systems flight testing. The group also operates the C-12J Huron and T-38C Talon.[29]"
Tonopah Test Range Airport,Tonopah,Nevada,37.4741,-116.4643,Air Combat Command,30th Reconnaissance Squadron,The 30th Reconnaissance Squadron is a Geographically Separate Unit of the 432nd Wing and operates the RQ-170 Sentinel UAV.[63]
Moody Air Force Base,Valdosta,Georgia,30.584,-83.1134,Air Combat Command,23rd Wing,"The 23rd Wing operates the A-10C Thunderbolt II, HC-130J Combat King II and HH-60G Pave Hawk in the close air support and combat search and rescue roles. Other units include The 476th Fighter Group also operates the A-10A and the 93rd Air Ground Operations Wing provides force protection capability.[43]"
McConnell Air Force Base,Wichita,Kansas,37.3723,-097.1602,Air Mobility Command,22d Air Refueling Wing,"The 22nd Air Refueling Wing and 931st Air Refueling Wing operate the KC-135R/T Stratotanker. The Kansas Air National Guard's 184th Wing performs a variety of roles including intelligence, surveillance and reconnaissance and cyber warfare.[41]"
Shaw Air Force Base,Sumter,South Carolina,33.5823,-080.2822,Air Combat Command,20th Fighter Wing,The 20th Fighter Wing operates the F-16C/D Fighting Falcon and the 25th Attack Group the MQ-9A Reaper. Also home to the headquarters of the Ninth Air Force.[58]
Minot Air Force Base,Minot,North Dakota,48.2457,-101.2129,Air Force Global Strike Command,5th Bomb Wing,"The 5th Bomb Wing operate the B-52H Stratofortress. The 91st Missile Wing man LGM-30G Minuteman III launch facilities throughout North Dakota, supported by the 582nd Helicopter Group's UH-1N Iroquois helicopters[42]"
Seymour Johnson Air Force Base,Goldsboro,North Carolina,35.2022,-077.5738,Air Combat Command,4th Fighter Wing,The 4th Fighter Wing and 414th Fighter Group operate the F-15E Strike Eagle and the 916th Air Refueling Wing the KC-135R Stratotanker.[57]
Barksdale Air Force Base,Bossier City,Louisiana,32.3007,-093.3946,Air Force Global Strike Command,2nd Bomb Wing,The 2nd Bomb Wing and 307th Bomb Wing operate the B-52H Stratofortress. Also home to the headquarters of Air Force Global Strike Command and the Eighth Air Force.[8]
Columbus Air Force Base,Columbus,Mississippi,33.3838,-088.2638,Air Education and Training Command,14th Flying Training Wing,"Provides specialized undergraduate pilot training in the T-1A Jayhawk, T-6A Texan II and T-38C Talon[11]"
Laughlin Air Force Base,Del Rio,Texas,29.2134,-100.4641,Air Education and Training Command,47th Flying Training Wing,"Operates the T-1A Jayhawk, T-38C Talon and T-6A Texan II in the pilot training role.[34]"
Cannon Air Force Base,Clovis,New Mexico,34.2258,-103.1920,Air Force Special Operations Command,27th Special Operations Wing,"One of four active duty special operations wings, operating the AC-130W Stinger II, CV-22B Osprey, MQ-9A Reaper, MC-130J Commando II and U-28A.[10]"
Arnold Air Force Base,Tullahoma,Tennessee,35.2333,-086.0509,Air Force Materiel Command,Arnold Engineering Development Complex,"Non-flying installation, part of the Air Force Test Center. It operates more than 68 aerodynamic and propulsion wind tunnels, rocket and turbine engine test cells, space environmental chambers, arc heaters, and ballistic ranges.[7]"
Hanscom Air Force Base,Lincoln,Massachusetts,42.2812,-071.1721,Air Force Materiel Command,66th Air Base Group,"Non-flying installation, hosting the Electronic Systems Center, part of the Air Force Life Cycle Management Center.[26]"
Rome Research Site,Rome,New York,43.1316.9,-75.2430.8,Air Force Materiel Command,AFRL Information Directorate,"Non-flying installation, home to the Information Directorate of Air Force Research Laboratory (AFRL).[54]"
Goodfellow Air Force Base,San Angelo,Texas,31.2546,-100.2356,Air Education and Training Command,17th Training Wing,"Non-flying installation delivering cryptologic, intelligence, and other training to US and allied military and US government students.[24]"
United States Air Force Academy,Colorado Springs,Colorado,38.5925,-104.5130,Chief of Staff of the Air Force,10th Air Base Wing,"Military academy for the US Air Force and US Space Force. It is both a military organization and a university, much of which is set up like most other Air Force bases, but the Superintendent, Commandant, Dean of Faculty and cadet wing are set up like a civilian university. The 306th Flying Training Group operates a variety of light training aircraft and gliders.[66][67]"
Francis E. Warren Air Force Base,Cheyenne,Wyoming,41.0759,-104.5201,Air Force Global Strike Command,90th Missile Wing,"LGM-30G Minuteman III base with launch facilities throughout south-east Wyoming, western Nebraska, and northern Colorado, supported by the wing's UH-1N Iroquois helicopters. It hosts the headquarters of the Twentieth Air Force, which is responsible for the USAF's Intercontinental Ballistic Missiles (ICBMs).[20]"
Malmstrom Air Force Base,Great Falls,Montana,47.3017,-111.1114,Air Force Global Strike Command,341st Missile Wing,"LGM-30G Minuteman III base with launch facilities throughout central Montana, supported by the 582nd Helicopter Group's UH-1N Iroquois helicopters.[39]"
MacDill Air Force Base,Tampa,Florida,27.5058,-082.3116,Air Combat Command,6th Air Refueling Wing,Home to the 6th Air Refueling Wing and 927th Air Refueling Wing operating the KC-135R Stratotanker. Also home to the headquarters of US Central Command and US Special Operations Command.[38]
Hurlburt Field,Mary Esther,Florida,30.2540,-086.4122,Air Force Special Operations Command,1st Special Operations Wing,"Home to the 1st Special Operations Wing, 24th Special Operations Wing, 492nd Special Operations Wing, Headquarters Air Force Special Operations Command and several special forces training and test & evaluation units. Aircraft flown includes the AC-130U Spooky, AC-130W Stinger II, AC-130J Ghostrider, CV-22B Osprey, MC-130H Combat Talon II, MC-130J Commando II, MQ-9A Reaper and U-28A Draco. 505th Command and Control Wing provides training and testing for command and control systems."
Nellis Air Force Base,Las Vegas,Nevada,36.1410,-115.0203,Air Combat Command,99th Air Base Wing,"Home of the USAF Warfare Center, the air force's advanced air combat training center, comprising the 53rd Test and Evaluation Group, the 57th Wing and US Air Force Weapons School. The 563rd Rescue Group, 926th Wing and the USAF Air Demonstration Squadron (Thunderbirds) are also based at Nellis.[45]"
Wright-Patterson Air Force Base,Dayton,Ohio,39.4923,-084.0258,Air Force Materiel Command,88th Air Base Wing,"Headquarters of Air Force Materiel Command, supporting a wide range of logistics, research & development and acquisition activities. Organisations include the Air Force Life Cycle Management Center, Air Force Research Laboratory, Air Force Institute of Technology and the National Air and Space Intelligence Center. The 445th Airlift Wing operates the C-17A Globemaster III. Also home to the National Museum of the US Air Force.[72]"
Maxwell Air Force Base,Montgomery,Alabama,32.2245,-086.2145,Air Education and Training Command,42nd Air Base Wing,Headquarters of Air Education and Training Command and home to the Air University. The 908th Airlift Wing operates the C-130H Hercules.[40]
North Auxiliary Airfield,North,South Carolina,33.3701,-081.0459,Air Mobility Command,628th Civil Engineer Squadron,"Geographically Separate Unit of the 628th Air Base Wing at Joint Base Charleston, utilised for training by C-17A Globemaster III aircraft of the 437th and 315th Airlift Wings.[46]"
Gila Bend Air Force Auxiliary Field,Gila Bend,Arizona,32.5315,-112.4312,Air Education and Training Command,56th Range Management Office,"Geographically Separate Unit of the 56th Fighter Wing at Luke AFB, located within the Barry M. Goldwater Air Force Range.[23]"
Homey Airport,Groom Lake,Nevada,37.140,-115.4830,Air Force Materiel Command,Air Force Test Center (Detachment 3),"Classified test facility popularly known as Area 51, located within the Nevada Test and Training Range.[28]"
Kirtland Air Force Base,Albuquerque,New Mexico,35.0225,-106.3633,Air Force Materiel Command,377th Air Base Wing,"Center for research, development and testing of non-conventional weapons, space and missile technology and laser warfare. Home to the Air Force Nuclear Weapons Center, Air Force Safety Center and Air Force Operational Test and Evaluation Center. The 58th Special Operations Wing and the New Mexico Air National Guard's 150th Special Operations Wing train special operations crews to operate the CV-22B Osprey, HC-130J Combat King II, MC-130J Commando II, HH-60G Pave Hawk and UH-1N Iroquois.[32]"
Kegelman Air Force Auxiliary Field,Cherokee,Oklahoma,36.4417,-098.0734,Air Education and Training Command,71st Flying Training Wing,"Airfield used for training by T-1A Jayhawk, T-6A Texan II and T-38C Talon aircraft of the 71st Flying Training Wing at Vance AFB.[31]"
Vance Air Force Base,Enid,Oklahoma,36.2022,-097.5502,Air Education and Training Command,71st Flying Training Wing,"71st Flying Training Wing and 5th Flying Training Squadron provide undergraduate pilot training, flying the T-1A Jayhawk, T-6A Texan II and T-38C Talon. T-38C Talon.[68][69]"
